Ollila Janne,336,85,60,54,56,70,65,0
Eriksson Kevin,325,60,70,60,70,65,60,0
Sainio Santtu,311,65,0,70,50,56,70,0
Pelkonen Jan,305,0,85,75,60,0,85,0
Iso-Tryykäri Kristian,300,75,65,46,44,58,56,0
Huhtala Rene,262,54,58,58,42,0,50,0
Rautio Juho,260,58,56,56,38,44,46,0
Huotelin Vesa,230,0,54,42,40,50,44,0
Suominen Benjamin,228,42,50,40,48,36,48,0
Sahlgren Jari,226,46,46,50,33,46,38,0
Kantola Janne,217,0,75,48,46,48,0,0
Eriksson Kimmo,201,48,48,19,30,42,33,0
Pesälä Otto,196,56,0,0,32,54,54,0
Aulaskari Ismo,192,50,42,34,29,32,34,0
Törnström Lauri,189,31,40,38,17,40,40,0
Suojanen Antti,184,0,0,44,65,0,75,0
Nuttunen Roni,170,0,0,85,0,85,0,0
Lampi Ahti,160,0,0,0,85,75,0,0
Salo Jali,157,36,36,30,19,27,28,0
Myllykangas Mika,154,0,0,0,36,60,58,0
Koskela Teemu,140,0,0,65,75,0,0,0
Virri Vesa,132,29,31,28,16,28,0,0
Koivula Toni,125,40,0,33,22,0,30,0
Tikkanen Jouni,117,0,38,27,23,0,29,0
Tuominen Niko,116,0,33,29,25,29,0,0
Henttonen Ville,112,30,28,0,24,30,0,0
Sandberg Henry,97,26,0,23,3,24,21,0
Antinkaapo Ari,86,44,0,0,0,0,42,0
Vastamäki Jarno,82,0,30,26,7,0,19,0
Erälaukko Juha,80,0,0,0,54,26,0,0
Sevon Petteri,80,0,0,36,18,0,26,0
Herlevi Jani,74,0,0,31,12,0,31,0
Hellsträm Sami,73,0,0,0,26,34,13,0
Hietala Antti,71,0,44,0,0,0,27,0
Käsmä Arto,70,70,0,0,0,0,0,0
Miettinen Petrus,70,0,0,0,0,38,32,0
Rautiainen Mikko,61,0,0,21,4,19,17,0
Honkanen Pasi,60,0,0,0,27,33,0,0
Jukka Konsta,58,0,0,0,58,0,0,0
Tonteri Mika,57,24,0,0,0,18,15,0
Jousi Netta,56,0,32,0,0,0,24,0
Venäläinen Tomi,49,38,0,0,11,0,0,0
Asumaa Mika,49,0,34,0,15,0,0,0
Santala Juha-Matti,48,34,0,0,14,0,0,0
Väisänen Olavi,47,0,0,25,0,22,0,0
Eronen Lauri,46,0,0,0,10,0,36,0
Räholm Tiitus,46,0,0,0,0,23,23,0
Räholm Joonatan,42,0,0,0,1,21,20,0
Lahtinen Ismo,40,0,0,0,9,31,0,0
Räholm Herman,38,0,0,0,0,20,18,0
Kemppainen Patrik,36,0,0,20,0,0,16,0
Ahlberg Magnus,34,0,0,0,34,0,0,0
Moisa Teuvo,33,33,0,0,0,0,0,0
Ylitalo Kalle,33,27,0,0,6,0,0,0
Koski Jaakko,32,0,0,32,0,0,0,0
Lämsä Tapio,32,32,0,0,0,0,0,0
Koskela Oskari,31,0,0,0,31,0,0,0
Eriksson Aleksi,29,0,29,0,0,0,0,0
Martiskainen Minerva,28,0,0,0,28,0,0,0
Säyrinki Toni,28,28,0,0,0,0,0,0
Jauhojärvi Ossi,25,25,0,0,0,0,0,0
Metsälä Lari,25,0,0,0,0,0,25,0
Rantanen Janne,25,0,0,0,0,25,0,0
Carlsson Kaj,24,0,0,24,0,0,0,0
Haverinen Mikko,22,0,0,0,0,0,22,0
Uusivuo Tero,22,0,0,22,0,0,0,0
Vepsäläinen Janne,21,0,0,0,21,0,0,0
Erälaukko Justus,20,0,0,0,20,0,0,0
Lamminen Jarno,14,0,0,0,0,0,14,0
Kattelus Sami,13,0,0,0,13,0,0,0
Stenlund Kim,8,0,0,0,8,0,0,0
Hägg Tom,5,0,0,0,5,0,0,0
Aho Mika,2,0,0,0,2,0,0,0
Finell Joni,0,0,0,0,0,0,0,0
Hallanaro Marko,0,0,0,0,0,0,0,0
Kaikkonen Pauli,0,0,0,0,0,0,0,0
Lehtonen Leevi,0,0,0,0,0,0,0,0
